id;date;tbgr;grade;lotno;weight;price
1;2020-11-19T22:52:17;8199;Pants Rustic Frozen Computer;45401;8551;6917
2;2020-11-20T14:02:40;58547;Antarctica (the territory South of 60 deg S) Auto Loan Account;21469;19358;19773
3;2020-11-20T00:48:49;37028;communities Wallis and Futuna Italy;82748;30827;66246
4;2020-11-20T09:15:29;39090;Marshall Islands copying;56842;32456;51219
5;2020-11-20T03:51:01;49511;Maryland Berkshire Developer;75394;62264;12631
6;2020-11-20T16:41:48;50072;input ROI models;96293;70415;63621
7;2020-11-20T02:56:03;41946;Sports New Jersey Gorgeous;71246;52488;76371
8;2020-11-19T19:57:43;40720;Liaison Assistant North Korean Won;42147;41808;63620
9;2020-11-20T11:12:55;33043;Leone Nevada Buckinghamshire;69773;75071;90941
10;2020-11-20T00:15:28;8310;SCSI Buckinghamshire;90085;91673;41649
