id;board;village;tbgr;name
1;New Mexico;Gorgeous Realigned Namibia;70517;hacking Beauty
2;hack neural Analyst;Awesome Concrete Computer;53072;Senegal
3;invoice Home;Plains Small Fresh Pizza;93149;Soft Togo
4;Licensed Steel Table back up;Technician;72704;Granite Exclusive
5;Communications;Cambridgeshire partnerships;12691;Officer Corporate withdrawal
6;deposit;Accountability Metrics;49564;Multi-channelled distributed index
7;benchmark;Borders;85775;Well Savings Account
8;Credit Card Account Rubber;parse mindshare;11481;bleeding-edge Zambian Kwacha
9;open-source Camp;open architecture;8904;gold unleash Practical Soft Hat
10;Table Sleek Plastic Bacon;California;76374;overriding Kentucky navigating
